0,1,2,3,4,5,6,7,8,9,graph_id,node_id
6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.010328015,2.0,0.05263158,0,0
7.0,3.0,1.0,2.0,0.0,1.0,1.0,0.027521277,0.0,0.05263158,0,1
6.0,2.0,0.0,2.0,0.0,1.0,1.0,0.010328015,1.0,0.05263158,0,2
7.0,3.0,0.0,2.0,0.0,1.0,1.0,0.027521277,0.0,0.05263158,0,3
6.0,2.0,0.0,2.0,0.0,1.0,1.0,0.010328015,1.0,0.05263158,0,4
6.0,2.0,0.0,2.0,0.0,1.0,1.0,0.010328015,1.0,0.05263158,0,5
6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.010328015,3.0,0.05263158,0,6
6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.010328015,2.0,0.05263158,0,7
8.0,1.0,0.0,3.0,0.0,0.0,0.0,0.04468008,1.0,0.05263158,0,8
5.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0,9
9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.07051304,0.0,0.0,0,10
9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.07051304,0.0,0.0,0,11
9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.07051304,0.0,0.0,0,12
9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.07051304,0.0,0.0,0,13
6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.010328015,2.0,0.05263158,1,0
7.0,3.0,1.0,2.0,0.0,1.0,1.0,0.027521277,0.0,0.05263158,1,1
6.0,2.0,0.0,2.0,0.0,1.0,1.0,0.010328015,1.0,0.05263158,1,2
7.0,3.0,0.0,2.0,0.0,1.0,1.0,0.027521277,0.0,0.05263158,1,3
6.0,2.0,0.0,2.0,0.0,1.0,1.0,0.010328015,1.0,0.05263158,1,4
6.0,2.0,0.0,2.0,0.0,1.0,1.0,0.010328015,1.0,0.05263158,1,5
6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.010328015,3.0,0.05263158,1,6
6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.010328015,2.0,0.05263158,1,7
6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.010328015,2.0,0.05263158,1,8
6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.010328015,3.0,0.05263158,1,9
5.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,1,10
9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.07051304,0.0,0.0,1,11
9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.07051304,0.0,0.0,1,12
9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.07051304,0.0,0.0,1,13
9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.07051304,0.0,0.0,1,14
6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.010328015,2.0,0.05263158,2,0
7.0,3.0,1.0,2.0,0.0,1.0,1.0,0.027521277,0.0,0.05263158,2,1
6.0,2.0,0.0,2.0,0.0,1.0,1.0,0.010328015,1.0,0.05263158,2,2
7.0,3.0,0.0,2.0,0.0,1.0,1.0,0.027521277,0.0,0.05263158,2,3
6.0,2.0,0.0,2.0,0.0,1.0,1.0,0.010328015,1.0,0.05263158,2,4
6.0,2.0,0.0,2.0,0.0,1.0,1.0,0.010328015,1.0,0.05263158,2,5
6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.010328015,3.0,0.05263158,2,6
6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.010328015,2.0,0.05263158,2,7
6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.010328015,2.0,0.05263158,2,8
7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.027521277,2.0,0.05263158,2,9
7.0,2.0,1.0,3.0,0.0,0.0,0.0,0.027521277,0.0,0.05263158,2,10
16.0,4.0,0.0,3.0,0.0,0.0,0.0,0.18308756,0.0,0.5,2,11
8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.04468008,0.0,0.05263158,2,12
8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.04468008,0.0,0.05263158,2,13
6.0,4.0,0.0,3.0,0.0,0.0,0.0,0.010328015,0.0,0.05263158,2,14
9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.07051304,0.0,0.0,2,15
9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.07051304,0.0,0.0,2,16
9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.07051304,0.0,0.0,2,17
16.0,4.0,0.0,3.0,0.0,0.0,0.0,0.18308756,0.0,0.5,2,18
8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.04468008,0.0,0.05263158,2,19
8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.04468008,0.0,0.05263158,2,20
6.0,4.0,0.0,3.0,0.0,0.0,0.0,0.010328015,0.0,0.05263158,2,21
9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.07051304,0.0,0.0,2,22
9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.07051304,0.0,0.0,2,23
9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.07051304,0.0,0.0,2,24
6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.010328015,3.0,0.05263158,3,0
7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.027521277,2.0,0.05263158,3,1
6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.010328015,1.0,0.05263158,3,2
8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.04468008,0.0,0.05263158,3,3
8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.04468008,0.0,0.05263158,3,4
6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.010328015,3.0,0.05263158,4,0
6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.010328015,2.0,0.05263158,4,1
7.0,3.0,0.0,2.0,0.0,1.0,1.0,0.027521277,0.0,0.05263158,4,2
6.0,2.0,0.0,2.0,0.0,1.0,1.0,0.010328015,1.0,0.05263158,4,3
6.0,2.0,0.0,2.0,0.0,1.0,1.0,0.010328015,1.0,0.05263158,4,4
7.0,3.0,1.0,2.0,0.0,1.0,1.0,0.027521277,0.0,0.05263158,4,5
6.0,2.0,0.0,2.0,0.0,1.0,1.0,0.010328015,1.0,0.05263158,4,6
6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.010328015,3.0,0.05263158,4,7
6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.010328015,3.0,0.05263158,4,8
6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.010328015,0.0,0.05263158,4,9
8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.04468008,0.0,0.05263158,4,10
8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.04468008,0.0,0.05263158,4,11
6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.010328015,3.0,0.05263158,5,0
6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.010328015,2.0,0.05263158,5,1
7.0,3.0,0.0,2.0,0.0,1.0,1.0,0.027521277,0.0,0.05263158,5,2
6.0,2.0,0.0,2.0,0.0,1.0,1.0,0.010328015,1.0,0.05263158,5,3
6.0,2.0,0.0,2.0,0.0,1.0,1.0,0.010328015,1.0,0.05263158,5,4
7.0,3.0,1.0,2.0,0.0,1.0,1.0,0.027521277,0.0,0.05263158,5,5
6.0,2.0,0.0,2.0,0.0,1.0,1.0,0.010328015,1.0,0.05263158,5,6
6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.010328015,3.0,0.05263158,5,7
53.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,5,8
6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.010328015,2.0,0.05263158,6,0
7.0,3.0,1.0,2.0,0.0,1.0,1.0,0.027521277,0.0,0.05263158,6,1
